participant,age,type,coder1,coder2
1,6,int_sound,1,2
1,6,int_sight,1,1
1,6,moving_toy,1,0
1,7,int_sound,0,0
1,7,int_sight,1,1
1,7,moving_toy,0,1
1,8,int_sound,2,2
1,8,int_sight,2,2
1,8,moving_toy,2,2
1,9,int_sound,2,2
1,9,int_sight,1,1
1,9,moving_toy,2,2
1,10,int_sound,2,1
1,10,int_sight,1,1
1,10,moving_toy,2,1
2,6,int_sound,2,2
2,6,int_sight,2,2
2,6,moving_toy,1,1
2,7,int_sound,1,1
2,7,int_sight,1,1
2,7,moving_toy,1,1
2,8,int_sound,1,1
2,8,int_sight,1,1
2,8,moving_toy,1,1
2,9,int_sound,2,1
2,9,int_sight,2,1
2,9,moving_toy,1,2
2,10,int_sound,2,2
2,10,int_sight,1,1
2,10,moving_toy,1,1
3,6,int_sound,na,na
3,6,int_sight,1,1
3,6,moving_toy,1,1
3,7,int_sound,2,2
3,7,int_sight,2,2
3,7,moving_toy,2,2
3,8,int_sound,2,1
3,8,int_sight,2,2
3,8,moving_toy,2,2
3,9,int_sound,2,1
3,9,int_sight,2,2
3,9,moving_toy,2,2
3,10,int_sound,2,2
3,10,int_sight,2,2
3,10,moving_toy,1,1
4,6,int_sound,na,na
4,6,int_sight,1,1
4,6,moving_toy,1,1
4,7,int_sound,2,2
4,7,int_sight,0,0
4,7,moving_toy,1,2
4,8,int_sound,1,1
4,8,int_sight,1,1
4,8,moving_toy,1,2
4,9,int_sound,2,2
4,9,int_sight,2,2
4,9,moving_toy,1,1
4,10,int_sound,2,2
4,10,int_sight,1,1
4,10,moving_toy,1,1
5,6,int_sound,0,0
5,6,int_sight,1,1
5,6,moving_toy,0,1
5,7,int_sound,0,1
5,7,int_sight,1,1
5,7,moving_toy,0,0
5,8,int_sound,1,1
5,8,int_sight,2,2
5,8,moving_toy,0,0
5,9,int_sound,1,1
5,9,int_sight,0,1
5,9,moving_toy,0,2
5,10,int_sound,1,1
5,10,int_sight,1,2
5,10,moving_toy,1,1
6,6,int_sound,1,1
6,6,int_sight,2,2
6,6,moving_toy,0,0
6,7,int_sound,2,2
6,7,int_sight,2,1
6,7,moving_toy,0,0
6,8,int_sound,1,1
6,8,int_sight,2,1
6,8,moving_toy,2,2
6,9,int_sound,1,1
6,9,int_sight,2,1
6,9,moving_toy,0,0
6,10,int_sound,1,1
6,10,int_sight,2,2
6,10,moving_toy,2,2
7,6,int_sound,1,1
7,6,int_sight,0,1
7,6,moving_toy,2,2
7,7,int_sound,1,1
7,7,int_sight,1,1
7,7,moving_toy,1,1
7,8,int_sound,2,2
7,8,int_sight,0,0
7,8,moving_toy,1,2
7,9,int_sound,2,2
7,9,int_sight,2,2
7,9,moving_toy,2,2
7,10,int_sound,1,1
7,10,int_sight,1,1
7,10,moving_toy,1,1
8,6,int_sound,2,2
8,6,int_sight,0,0
8,6,moving_toy,0,0
8,7,int_sound,0,1
8,7,int_sight,2,2
8,7,moving_toy,0,0
8,8,int_sound,2,2
8,8,int_sight,2,1
8,8,moving_toy,0,0
8,9,int_sound,2,2
8,9,int_sight,1,2
8,9,moving_toy,0,1
8,10,int_sound,1,1
8,10,int_sight,na,na
8,10,moving_toy,2,2
9,6,int_sound,1,1
9,6,int_sight,0,1
9,6,moving_toy,1,2
9,7,int_sound,1,1
9,7,int_sight,2,2
9,7,moving_toy,0,0
9,8,int_sound,2,1
9,8,int_sight,2,2
9,8,moving_toy,1,2
9,9,int_sound,2,1
